"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","stop_url","location_type","parent_station","wheelchair_boarding"
95412,"95412","Wołczkowo Kościół 12","",53.475787,14.443020,"http://www.zditm.szczecin.pl/s95412",,,
95511,"95511","Wołczkowo Piaskowa nż 11","na żądanie",53.475851,14.436512,"http://www.zditm.szczecin.pl/s95511",,,
95512,"95512","Wołczkowo Piaskowa nż 12","na żądanie",53.476059,14.435552,"http://www.zditm.szczecin.pl/s95512",,,
95611,"95611","Wołczkowo Łąkowa nż 11","na żądanie",53.479082,14.424905,"http://www.zditm.szczecin.pl/s95611",,,
95612,"95612","Wołczkowo Łąkowa nż 12","na żądanie",53.478843,14.425593,"http://www.zditm.szczecin.pl/s95612",,,
95711,"95711","Dobra MZAZ nż 11","na żądanie",53.481323,14.412692,"http://www.zditm.szczecin.pl/s95711",,,
95712,"95712","Dobra MZAZ nż 12","na żądanie",53.481295,14.412566,"http://www.zditm.szczecin.pl/s95712",,,
95811,"95811","Dobra Lawendowa nż 11","na żądanie",53.483378,14.407453,"http://www.zditm.szczecin.pl/s95811",,,
95911,"95911","Dobra Spacerowa nż 11","na żądanie",53.485167,14.401056,"http://www.zditm.szczecin.pl/s95911",,,
95912,"95912","Dobra Spacerowa nż 12","na żądanie",53.484737,14.402971,"http://www.zditm.szczecin.pl/s95912",,,
96012,"96012","Dobra Przytulna 12","",53.487149,14.389498,"http://www.zditm.szczecin.pl/s96012",,,
96141,"96141","Dobra Rondo 41","",53.487236,14.385334,"http://www.zditm.szczecin.pl/s96141",,,
96211,"96211","Dobra Osiedle 11","",53.484271,14.378631,"http://www.zditm.szczecin.pl/s96211",,,
96212,"96212","Dobra Osiedle 12","",53.483790,14.378067,"http://www.zditm.szczecin.pl/s96212",,,
96311,"96311","Mierzyn Wspólna nż 11","na żądanie",53.433164,14.447795,"http://www.zditm.szczecin.pl/s96311",,,
96312,"96312","Mierzyn Wspólna nż 12","na żądanie",53.432890,14.449272,"http://www.zditm.szczecin.pl/s96312",,,
96411,"96411","Mierzyn Wichrowa nż 11","na żądanie",53.433435,14.441278,"http://www.zditm.szczecin.pl/s96411",,,
96412,"96412","Mierzyn Wichrowa nż 12","na żądanie",53.433385,14.441041,"http://www.zditm.szczecin.pl/s96412",,,
96511,"96511","Skarbimierzyce 11","",53.435044,14.426813,"http://www.zditm.szczecin.pl/s96511",,,
96512,"96512","Skarbimierzyce 12","",53.434432,14.429273,"http://www.zditm.szczecin.pl/s96512",,,
96621,"96621","Dołuje 21","",53.437127,14.411104,"http://www.zditm.szczecin.pl/s96621",,,
96622,"96622","Dołuje 22","",53.437116,14.412541,"http://www.zditm.szczecin.pl/s96622",,,
96631,"96631","Dołuje 31","",53.436501,14.409894,"http://www.zditm.szczecin.pl/s96631",,,
96632,"96632","Dołuje 32","",53.436488,14.409967,"http://www.zditm.szczecin.pl/s96632",,,
96711,"96711","Dołuje Makowa nż 11","na żądanie",53.442686,14.405152,"http://www.zditm.szczecin.pl/s96711",,,
96712,"96712","Dołuje Makowa nż 12","na żądanie",53.441723,14.406072,"http://www.zditm.szczecin.pl/s96712",,,
96811,"96811","Lubieszyn Targowisko 11","",53.444091,14.397242,"http://www.zditm.szczecin.pl/s96811",,,
96911,"96911","Lubieszyn nż 11","na żądanie",53.447004,14.396354,"http://www.zditm.szczecin.pl/s96911",,,
97041,"97041","Lubieszyn Skrzyżowanie 41","",53.450420,14.385505,"http://www.zditm.szczecin.pl/s97041",,,
97042,"97042","Lubieszyn Skrzyżowanie 42","",53.449864,14.387193,"http://www.zditm.szczecin.pl/s97042",,,
97111,"97111","Lubieszyn Rondo 11","",53.452261,14.379212,"http://www.zditm.szczecin.pl/s97111",,,
97112,"97112","Lubieszyn Rondo 12","",53.452670,14.377630,"http://www.zditm.szczecin.pl/s97112",,,
97211,"97211","Lubieszyn Granica 11","",53.454219,14.375564,"http://www.zditm.szczecin.pl/s97211",,,
97311,"97311","Dobra Oliwkowa nż 11","na żądanie",53.500370,14.396553,"http://www.zditm.szczecin.pl/s97311",,,
97312,"97312","Dobra Oliwkowa nż 12","na żądanie",53.500370,14.396441,"http://www.zditm.szczecin.pl/s97312",,,
97411,"97411","Grzepnica 11","",53.514342,14.406395,"http://www.zditm.szczecin.pl/s97411",,,
97511,"97511","Kościno 11","",53.423079,14.375960,"http://www.zditm.szczecin.pl/s97511",,,
97611,"97611","Kościno Sowy nż 11","na żądanie",53.428630,14.390686,"http://www.zditm.szczecin.pl/s97611",,,
97612,"97612","Kościno Sowy nż 12","na żądanie",53.428621,14.390508,"http://www.zditm.szczecin.pl/s97612",,,
97711,"97711","Dołuje Perkoza nż 11","na żądanie",53.430956,14.396951,"http://www.zditm.szczecin.pl/s97711",,,
97712,"97712","Dołuje Perkoza nż 12","na żądanie",53.430962,14.396860,"http://www.zditm.szczecin.pl/s97712",,,
97811,"97811","Dołuje Kościół nż 11","na żądanie",53.433623,14.407947,"http://www.zditm.szczecin.pl/s97811",,,
97812,"97812","Dołuje Kościół nż 12","na żądanie",53.433633,14.407874,"http://www.zditm.szczecin.pl/s97812",,,
97911,"97911","Wąwelnica 11","",53.452076,14.412530,"http://www.zditm.szczecin.pl/s97911",,,
97912,"97912","Wąwelnica 12","",53.451900,14.412454,"http://www.zditm.szczecin.pl/s97912",,,
98011,"98011","Redlica Rondo nż 11","na żądanie",53.458453,14.420872,"http://www.zditm.szczecin.pl/s98011",,,
